date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-11,4,-3,10.8,3.4,1,1,100,05:36 PM,08:21 AM,07:33 AM,04:32 PM,1,-2,2,-2,29,100,98,55.2,1015,4,5,143,17
2020-01-12,-9,-17,39.6,3.4,1,1,83,06:51 PM,09:06 AM,07:33 AM,04:33 PM,-11,-17,-10,-17,31,95,91,42.2,1019,-9,6,220,21
2020-01-13,-9,-14,0.6,3.4,1,1,76,08:08 PM,09:44 AM,07:32 AM,04:34 PM,-12,-16,-11,-16,13,73,95,1.1,1031,-9,4,23,8
2020-01-14,-8,-14,0.5,3.4,1,1,69,09:26 PM,10:15 AM,07:32 AM,04:35 PM,-11,-14,-11,-14,13,80,95,1.7,1025,-8,4,41,8
2020-01-15,-1,-8,5.1,6.9,1,1,61,10:41 PM,10:43 AM,07:31 AM,04:37 PM,-5,-9,-5,-9,15,79,93,5.2,1018,-1,7,255,9
2020-01-16,-2,-12,4.9,3.4,1,1,54,11:56 PM,11:09 AM,07:31 AM,04:38 PM,-7,-8,-5,-8,18,78,90,5.9,1016,-2,5,340,12
2020-01-17,-16,-21,0.0,8.7,1,1,47,No moonrise,11:36 AM,07:30 AM,04:39 PM,-20,-25,-18,-25,16,8,85,0.0,1039,-16,10,265,10
2020-01-18,-15,-22,1.6,3.4,1,1,40,01:10 AM,12:03 PM,07:29 AM,04:41 PM,-17,-22,-17,-22,16,83,93,5.7,1028,-15,8,65,10
2020-01-19,-9,-15,18.8,3.4,1,1,32,02:22 AM,12:33 PM,07:29 AM,04:42 PM,-12,-17,-11,-17,21,98,92,18.6,1007,-9,3,122,14
2020-01-20,-13,-18,0.0,8.7,1,1,25,03:34 AM,01:08 PM,07:28 AM,04:43 PM,-17,-22,-15,-22,23,23,87,0.0,1025,-13,10,254,13
2020-01-21,-10,-20,0.2,8.7,1,1,18,04:42 AM,01:50 PM,07:27 AM,04:45 PM,-15,-20,-14,-20,17,42,92,0.5,1029,-10,6,223,10
2020-01-22,-1,-8,0.4,5.2,1,1,11,05:46 AM,02:38 PM,07:26 AM,04:46 PM,-6,-10,-5,-10,24,68,90,0.6,1026,-1,9,215,14
2020-01-23,-1,-6,0.0,5.2,1,1,3,06:41 AM,03:33 PM,07:25 AM,04:47 PM,-5,-7,-4,-7,18,77,90,0.0,1027,-1,10,229,10
2020-01-24,-1,-4,0.0,3.5,1,1,0,07:28 AM,04:33 PM,07:25 AM,04:49 PM,-4,-7,-3,-7,18,80,94,0.0,1029,-1,9,44,11
2020-01-25,-0,-7,0.0,5.2,1,1,0,08:07 AM,05:36 PM,07:24 AM,04:50 PM,-3,-8,-3,-8,23,77,97,5.4,1020,-0,5,46,13
2020-01-26,1,-7,1.9,3.5,1,1,4,08:39 AM,06:40 PM,07:23 AM,04:52 PM,1,-4,0,-4,25,100,99,11.6,1003,1,6,236,15
2020-01-27,1,-2,1.4,3.5,1,1,11,09:07 AM,07:43 PM,07:22 AM,04:53 PM,-1,-4,-0,-4,20,99,97,1.2,1002,1,5,266,13
2020-01-28,-4,-9,0.1,3.5,1,1,18,09:31 AM,08:45 PM,07:21 AM,04:55 PM,-7,-9,-6,-9,11,83,90,0.2,1011,-4,9,185,6
2020-01-29,-6,-13,0.0,8.7,1,1,26,09:53 AM,09:46 PM,07:20 AM,04:56 PM,-12,-11,-8,-11,8,2,85,0.0,1022,-6,10,306,5
2020-01-30,-8,-17,0.0,8.7,1,1,33,10:13 AM,10:47 PM,07:18 AM,04:57 PM,-14,-14,-12,-14,6,39,87,0.0,1028,-8,10,129,3
2020-01-31,-5,-14,0.0,8.7,1,1,37,10:34 AM,11:49 PM,07:17 AM,04:59 PM,-11,-11,-10,-11,4,51,91,0.1,1025,-5,10,111,2
2020-02-01,-2,-10,1.4,5.4,1,1,49,10:57 AM,No moonset,07:16 AM,05:00 PM,-7,-7,-6,-7,5,80,95,1.6,1014,-2,4,237,3
